egoid,SelfEsteem_6,Trust_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,selfreg_scale_6
22455,43.0,2.0,1.0,1.0,7.0,7.0,0.59540492,-1.5774766,3.005939,1.75
57443,37.0,3.1666667,1.0,4.0,5.5,5.75,0.53705406,-0.10439796,0.26880622,2.75
96469,38.0,3.5,1.0,5.0,6.0,4.25,0.89581007,-0.81286007,0.99838501,3.25
94579,38.0,3.1666667,1.5,4.5,5.75,5.75,0.34692842,0.2189988,0.08681529,2.25
29257,40.0,3.3333333,1.25,3.75,4.5,5.0,0.25400209,0.21071213,0.1115564,2.1666667
23518,33.0,3.3333333,2.5,4.25,4.0,3.0,-0.6679247,-0.46191868,-0.4364388,2.6666667
49539,49.0,3.6666667,1.25,2.25,4.5,3.5,-1.5995954,-0.59657198,-0.66366839,2.5833333
63904,26.0,2.1666667,1.75,2.75,4.5,3.5,0.67669874,-0.024638165,1.6197649,1.8333334
82490,40.0,2.8333333,2.0,2.0,6.0,5.75,1.0551378,1.149804,0.71461445,2.0833333
20335,48.0,3.5,1.0,1.0,4.0,4.5,-1.3185744,0.1335181,0.25312996,2.1666667
35031,49.0,3.3333333,1.25,4.0,5.5,5.25,-1.3824868,-0.64441746,-0.37696996,1.9166666
35344,39.0,3.8333333,1.25,3.25,6.0,5.25,0.78705049,-0.70660555,-0.18567747,2.0
42617,45.0,4.5,1.75,4.75,6.0,5.25,1.0323597,-0.50267923,-0.83551586,2.0
