egoid,AcademicPeriod,CourseReferenceNumber,FinalGrade
27306,201810,14729,A
27306,201620,23818,B
27306,201620,21370,S
27306,201620,22460,A-
27306,201710,19789,B+
27306,201720,30881,A
27306,201910,19335,
27306,201620,25325,A
27306,201510,14225,C
27306,201700,3933,A
27306,201910,14896,
27306,201720,26204,A
27306,201510,10928,B
27306,201900,3240,B
27306,201600,3399,S
27306,201610,12505,A-
27306,201510,12205,B
27306,201600,2311,B-
27306,201820,31552,A-
27306,201810,13414,A
27306,201520,23673,B-
27306,201610,10079,A-
27306,201520,24612,A-
27306,201810,19413,A-
27306,201820,23711,B-
27306,201900,3238,
27306,201620,27000,A
27306,201810,15575,B-
27306,201510,10025,B+
27306,201810,10758,C+
27306,201520,30337,A
27306,201910,17121,
27306,201910,14891,
27306,201710,11615,A
27306,201520,29031,B+
27306,201900,3239,
27306,201820,22571,S
27306,201910,14892,
27306,201820,29917,A
27306,201720,27076,A
27306,201610,16513,B-
27306,201620,20572,C+
27306,201720,25604,A
27306,201520,27690,S
27306,201710,11083,C+
27306,201710,12088,A
27306,201720,25719,B+
27306,201610,11859,A
27306,201610,11087,B-
27306,201610,11431,B-
46365,201620,22466,A
46365,201610,11354,A
46365,201610,13471,A
46365,201810,13827,A
46365,201620,21997,S
46365,201700,2066,S
46365,201620,24085,A
46365,201620,23260,A
46365,201610,14277,A
46365,201700,3678,S
46365,201510,11536,A
46365,201510,14225,A
46365,201520,30309,A
46365,201710,11083,A
46365,201710,15883,A-
46365,201820,23416,A
46365,201820,31537,A
46365,201510,20475,A
46365,201720,22522,B-
46365,201520,23478,A
46365,201520,29030,A
46365,201820,31532,A
46365,201810,16330,A
46365,201710,11268,A
46365,201520,20184,A
46365,201510,18030,A
46365,201610,20881,A
46365,201710,17660,A
46365,201520,27672,S
46365,201510,15271,A
46365,201610,11087,A
46365,201610,13477,A
46365,201820,30969,S
46365,201720,23137,B
46365,201710,10541,A
46365,201610,10642,S
46365,201720,26645,A
46365,201620,20572,A
46365,201610,11357,A
46365,201510,10695,A
46365,201810,14064,A
46365,201810,14612,A
46365,201820,23083,S
46365,201700,3000,A
46365,201720,24301,A-
46365,201620,25394,A
46365,201610,12505,A
46365,201820,24155,A
46365,201620,30222,A
46365,201710,10784,A
46365,201720,22518,A
46365,201710,11084,A
46365,201520,23065,A
46365,201620,23262,A
31045,201710,10109,A
31045,201510,15734,B+
31045,201720,23037,A
31045,201810,14863,A
31045,201700,3909,A
31045,201610,13613,A
31045,201720,23913,A
31045,201720,21098,A
31045,201510,11382,B-
31045,201510,19624,A
31045,201710,11240,C
31045,201520,30304,A
31045,201820,27624,A
31045,201620,20723,A
31045,201610,19747,A
31045,201710,19663,B+
31045,201700,3914,A-
31045,201520,21030,A
31045,201510,20392,A
31045,201620,20453,B
31045,201720,24889,A
31045,201810,19078,A
31045,201520,21321,B
31045,201820,30310,A
31045,201610,11638,A-
31045,201510,20025,A-
31045,201520,20880,A-
31045,201720,29637,B+
31045,201810,16213,A-
31045,201820,28263,A
31045,201510,19540,A
31045,201720,29843,A
31045,201610,11326,B+
31045,201610,13070,A-
31045,201710,11509,A
31045,201820,25252,A
31045,201610,12090,A
31045,201620,22902,B+
31045,201620,20731,A
31045,201520,20305,A
31045,201610,11324,B+
31045,201810,16856,A
31045,201620,20900,A-
51760,201520,30513,S
51760,201610,10612,S
51760,201610,17696,A
51760,201810,11138,A
51760,201620,23260,A
51760,201820,21433,A
51760,201520,21195,A
51760,201510,12421,A
51760,201510,13328,A
51760,201720,22660,A-
