egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
36384,,,,
63138,502.0,,"M.D., D.O., D.D.S., or D.V.M.",no
51298,304.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
74632,502.0,,"M.D., D.O., D.D.S., or D.V.M.",no
16654,,,,
54394,,,,
84768,,,,
29134,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no
24029,506.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
35361,,,,
87056,,,,
49086,406.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
67917,,,,
85503,301.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
60008,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
66542,,,,
55881,,,,
86265,,,,
10732,,,,
22119,,,,
50797,,,,
39564,,,,
39285,,,,
22460,,,,
25172,406.0,108.0,"Bachelor's degree (B.A., B.S., etc.)",no
77134,130.0,,J.D. (Law),yes
22143,,,,
93766,,,,
45097,,,,
26289,,,,
95490,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
66979,,,,
23253,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
12900,,,,
90079,304.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
47584,510.0,125.0,"M.D., D.O., D.D.S., or D.V.M.",no
97990,402.0,506.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
39248,,,,
29354,,,,
25743,,,,
91429,511.0,,"M.D., D.O., D.D.S., or D.V.M.",yes
82269,117.0,,Ph.D or Ed.D.,no
22842,306.0,,Ph.D or Ed.D.,no
31311,,,,
32423,,,,
33084,,,,
14279,401.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
91932,,,,
32404,,,,
73577,,,,
70561,,,,
43177,,,,
36501,,,,
26857,305.0,114.0,Ph.D or Ed.D.,no
28327,130.0,135.0,J.D. (Law),no
42674,,,,
79897,,,,
64978,,,,
70434,,,,
52302,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no
97050,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
46418,,,,
86691,,,,
93002,506.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
81930,,,,
56543,110.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
92618,,,,
17470,,,,
74211,,,,
35180,,,,
89142,403.0,,"Bachelor's degree (B.A., B.S., etc.)",no
24898,302.0,129.0,"M.D., D.O., D.D.S., or D.V.M.",no
74413,,,,
38824,,,,
51723,128.0,,Ph.D or Ed.D.,yes
79352,110.0,129.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
30814,,,,
90502,,,,
94456,,,,
70661,,,,
50976,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
55533,,,,
12156,,,,
76485,,,,
33239,510.0,134.0,"M.D., D.O., D.D.S., or D.V.M.",yes
72570,304.0,,"Bachelor's degree (B.A., B.S., etc.)",no
67574,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
42231,,,,
44639,,,,
64072,,,,
84960,,,,
43809,309.0,108.0,"Bachelor's degree (B.A., B.S., etc.)",yes
27941,,,,
31033,,,,
39301,,,,
10469,510.0,,"M.D., D.O., D.D.S., or D.V.M.",no
77789,109.0,,"Bachelor's degree (B.A., B.S., etc.)",no
47024,,,,
88582,,,,
73897,,,,
83470,,,,
67015,501.0,,"Bachelor's degree (B.A., B.S., etc.)",no
26272,,,,
21909,,,,
88882,403.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
62510,,,,
96828,,,,
64406,,,,
31985,,,,
91337,,,,
87664,,,,
19245,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
83748,,,,
49915,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
51865,117.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
78407,,,,
93787,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
52621,,,,
38914,,,,
37594,,,,
19833,,,,
17270,,,,
40864,511.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
38313,,,,
55340,,,,
18707,,,,
73807,,,,
26718,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
63347,502.0,,Other,no
35824,128.0,,J.D. (Law),no
48826,304.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
11454,,,,
93246,,,,
75341,,,,
35925,403.0,501.0,"Bachelor's degree (B.A., B.S., etc.)",no
